Dataset_Fraction,Train_Size,Test_Size,Model,Positive_Accuracy,Negative_Accuracy,Neutral_Accuracy,Macro_F1,Test_Accuracy,Train_Accuracy,Train_Macro_F1,Test_Macro_F1,Accuracy_Gap,Positive_Accuracy_Std,Negative_Accuracy_Std,Neutral_Accuracy_Std,Macro_F1_Std,Test_Accuracy_Std,Train_Accuracy_Std,Train_Macro_F1_Std,Test_Macro_F1_Std,Accuracy_Gap_Std,Positive_Accuracy_CI95,Negative_Accuracy_CI95,Neutral_Accuracy_CI95,Macro_F1_CI95,Test_Accuracy_CI95,Train_Accuracy_CI95,Accuracy_Gap_CI95,Seeds_Used
0.05,2381,614,BiLSTM,3.361344537815126,0.0,100.0,23.998231162024965,49.0228013029316,49.8110037799244,28.492825254874415,23.998231162024965,0.7882024769928009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.05,2381,614,Logistic Regression,56.30252100840337,40.572390572390574,56.116722783389456,49.51667625589328,51.14006514657981,98.0820383592328,97.94734730906418,49.51667625589328,46.94197321265301,6.175184225503808,0.85842079353414,3.0157191565756256,1.9527906039221608,2.0644031858666194,0.0791943756053825,0.0951444238705987,1.9527906039221608,1.994036464670631,6.987878778784703,0.9713945734008196,3.4126074830245274,2.2097905944570457,2.336092120748987,0.089616872385181,2.2564646797169763,3
0.05,2381,614,Random Forest,45.09803921568627,12.626262626262625,74.85970819304153,40.831605600269214,49.02280130293159,86.2942741145177,86.89272194831017,40.831605600269214,37.27147281158612,2.7729677693590085,0.4123720105695594,1.299196060919217,1.0094083040853108,1.0386062144250288,1.4157032989172142,1.149391153615588,1.0094083040853108,2.164148366590505,3.137908428663416,0.4666428589648607,1.4701787431835505,1.1422530259283596,1.1752935718614048,1.60201909421609,2.448964418353942,3
0.05,2381,614,SVM,58.26330532212885,20.70707070707071,68.57463524130192,46.15704187169005,51.14006514657981,99.90200195996078,99.92225839072805,46.15704187169005,48.761936813381,4.819229841480458,2.575262380602416,3.7325003699923434,2.831745808472512,2.7285194078456163,0.0197985939013456,0.0156947656330386,2.831745808472512,2.7460833382022893,5.453471946680223,2.914183720202454,4.223721782996295,3.2044220414044697,3.0876103726332182,0.0224042180962952,3.1074858308753464,3
0.05,2381,614,VADER,70.02801120448179,57.23905723905724,43.54657687991021,52.959276326010695,53.09446254071662,53.64692706145877,52.06292772408474,52.959276326010695,0.5524645207421557,3.778918084938952,1.2598173019440884,1.9887817224095805,1.2507774778197551,1.2824117058651174,0.8430110159498583,0.986242612281146,1.2507774778197551,1.3581267928526966,4.276248372226696,1.4256174824780483,2.2505183790734544,1.4153879584904914,1.4511854574425795,0.9539567684974024,1.5368651441164092,3
0.1,4763,1228,BiLSTM,46.21848739495798,1.0075566750629723,85.16020236087691,37.825987397450525,50.4071661237785,59.43732941423473,48.66049163107976,37.825987397450525,9.03016329045623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1,4763,1228,Logistic Regression,57.002801120448176,48.95046179680941,59.47161326587971,54.42483776873823,55.59174809989143,93.22555812163203,92.89477398861276,54.42483776873823,37.63381002174061,4.879902350191689,1.712517049065586,1.4331139723419837,1.1692278086166503,1.146509885013188,0.2980689962775099,0.3262800237090812,1.1692278086166503,1.4418229027297218,5.522129353584428,1.9378954713688856,1.621721125913674,1.3231058204956865,1.2973980698522247,0.3372968218662878,1.631576208388954,3
0.1,4763,1228,Random Forest,44.2577030812325,24.60117548278757,71.27599775154583,45.84671619696461,50.95005428881651,81.08335082930925,80.85013246881134,45.84671619696461,30.13329654049275,3.668291555660724,0.2374833857889327,0.4206472610201202,0.969162188476033,0.9076141963789632,0.3759640567867145,0.5274184375269562,0.969162188476033,0.8086694532859076,4.151062669568431,0.2687377495580759,0.4760071863923365,1.096710258793887,1.0270621491754517,0.4254433808072094,0.9150956320184906,3
0.1,4763,1228,SVM,57.56302521008403,22.67002518891688,73.29960652051714,49.10095433957988,53.88165038002172,99.30016096297852,99.3853665109803,49.10095433957988,45.4185105829568,2.8081145176139266,0.4113332901399121,0.2103236305100626,0.6063883094717143,0.6033146246170706,0.1555469995863504,0.1395985556910549,0.6063883094717143,0.5777999619911569,3.1776807184130056,0.4654674361463081,0.2380035931961711,0.6861929692655953,0.6827147674202595,0.1760180000823233,0.6538422086429659,3
0.1,4763,1228,VADER,70.72829131652661,56.84298908480269,43.338954468802704,52.902467349148274,53.01302931596092,54.23052697879488,52.77368865695937,52.902467349148274,1.2174976628339682,1.4282967825189825,0.5937084644723285,0.6884456837501923,0.2958511494474467,0.2898229710106226,0.5546859044141457,0.4581001892878488,0.2958511494474467,0.747813377046196,1.6162699624652213,0.6718443738951861,0.7790496296377947,0.3347870919161454,0.3279655658474273,0.6276861902092281,0.8462304989007998,3
